Data;hora;preciptacao;temperatura;humidade
22/01/2023;0900 UTC;0;19,4;93
22/01/2023;1000 UTC;0;20,3;93
22/01/2023;1100 UTC;0;23,3;84
22/01/2023;1200 UTC;0;25,3;69
22/01/2023;1300 UTC;0;25,6;68
22/01/2023;1400 UTC;0,2;27,3;63
22/01/2023;1500 UTC;0;27,2;63
22/01/2023;1600 UTC;0;26,7;66
22/01/2023;1700 UTC;0;22,4;85
22/01/2023;1800 UTC;0,2;22,8;85
22/01/2023;1900 UTC;0;25,3;73
22/01/2023;2000 UTC;0;25,6;68
22/01/2023;2100 UTC;9,2;22;88
22/01/2023;2200 UTC;0,8;22,4;89
22/01/2023;2300 UTC;0;21,5;88
23/01/2023;0000 UTC;0;21,6;90
23/01/2023;0100 UTC;0;21,6;89
23/01/2023;0200 UTC;0;21,6;90
23/01/2023;0300 UTC;0,2;21,4;89
23/01/2023;0400 UTC;3,4;19,7;92
23/01/2023;0500 UTC;0,8;19,6;92
23/01/2023;0600 UTC;0,6;19,7;92
23/01/2023;0700 UTC;0,8;19,3;92
23/01/2023;0800 UTC;0;19,2;92
23/01/2023;0900 UTC;0;19;92
23/01/2023;1000 UTC;0;20;92
23/01/2023;1100 UTC;0;21,3;88
23/01/2023;1200 UTC;0;22,5;79
23/01/2023;1300 UTC;0;23,4;74
23/01/2023;1400 UTC;0,2;24,5;67
23/01/2023;1500 UTC;0;25,8;70
23/01/2023;1600 UTC;0;25,9;63
23/01/2023;1700 UTC;0;26,7;58
23/01/2023;1800 UTC;0;28,4;56
23/01/2023;1900 UTC;0;26,3;63
23/01/2023;2000 UTC;0;26,5;61
23/01/2023;2100 UTC;0;25,1;69
23/01/2023;2200 UTC;0;24,1;73
23/01/2023;2300 UTC;0;23,1;84
24/01/2023;0000 UTC;0;22,1;87
24/01/2023;0100 UTC;0;22,4;84
24/01/2023;0200 UTC;0;22;86
24/01/2023;0300 UTC;0;21,8;87
24/01/2023;0400 UTC;0;21,5;88
24/01/2023;0500 UTC;0;21;88
24/01/2023;0600 UTC;0;21;89
24/01/2023;0700 UTC;0;20,7;90
24/01/2023;0800 UTC;0;20,1;91
24/01/2023;0900 UTC;0;20;92
24/01/2023;1000 UTC;0;21;90
24/01/2023;1100 UTC;0;21,9;82
24/01/2023;1200 UTC;0;23,8;76
24/01/2023;1300 UTC;0;25,3;69
24/01/2023;1400 UTC;0;25,9;65
24/01/2023;1500 UTC;0;26,6;63
24/01/2023;1600 UTC;0;28,6;56
24/01/2023;1700 UTC;0;28,5;54
24/01/2023;1800 UTC;0;29,1;50
24/01/2023;1900 UTC;0;27,3;61
24/01/2023;2000 UTC;5;22,4;88
24/01/2023;2100 UTC;0,6;23;86
24/01/2023;2200 UTC;0,4;22,2;90
24/01/2023;2300 UTC;0;22,2;91
25/01/2023;0000 UTC;0;22,1;91
25/01/2023;0100 UTC;0;21,9;91
25/01/2023;0200 UTC;0;21,9;90
25/01/2023;0300 UTC;0;21,5;91
25/01/2023;0400 UTC;0;21,1;92
25/01/2023;0500 UTC;0;21,1;91
25/01/2023;0600 UTC;0;21,1;92
25/01/2023;0700 UTC;0;21,1;92
25/01/2023;0800 UTC;0;21;92
25/01/2023;0900 UTC;0;21;92
25/01/2023;1000 UTC;0;21,3;92
25/01/2023;1100 UTC;0;22,9;85
25/01/2023;1200 UTC;0,2;24,9;72
25/01/2023;1300 UTC;0;27,4;63
25/01/2023;1400 UTC;0,2;28,1;58
25/01/2023;1500 UTC;0;27,6;58
25/01/2023;1600 UTC;0;28,3;63
25/01/2023;1700 UTC;0;28,1;60
25/01/2023;1800 UTC;0;26,7;62
25/01/2023;1900 UTC;0;25,5;70
